 Gaussian points = 8
 FIXED SPECIES MIXING RATIOS:
    O2 =   2.100000000000000E-002  CO2 =   4.000000000000000E-004
 
    CH4 =   2.570408118175479E-006
 Standard CH3CL flux =  0.000E+00

 PO2= 9.350E-03  PNO= 9.853E-03  ZAPNO= 1.041E+03
 N= 4     X= 3.45876E-01  ERR= 2.88068E-07

 TIME = 0.0000E+00     TIMEY =   0.0000E+00 YEARS

 NPHOT =  0

 MIXING RATIOS OF LONG-LIVED SPECIES


     Z        H2CO     O        H2O      OH       HO2      H2O2     O3       H        H2       CH4      CO       CH3OOH  
   3.65E+06 3.51E-10 8.98E-27 4.11E-11 4.31E-26 5.03E-09 4.41E-04 1.56E-03 2.94E-05 3.66E-05 3.67E-05 1.79E-04
   3.95E+06 4.49E-10 4.32E-21 5.95E-11 2.07E-20 8.85E-09 5.22E-04 2.27E-03 3.65E-05 3.82E-05 3.75E-05 2.25E-04
   4.25E+06 5.52E-10 3.23E-17 8.49E-11 1.55E-16 1.60E-08 5.91E-04 2.88E-03 4.22E-05 3.92E-05 3.81E-05 2.59E-04
   4.55E+06 6.66E-10 1.37E-14 1.20E-10 6.57E-14 2.89E-08 6.37E-04 3.28E-03 4.60E-05 3.97E-05 3.84E-05 2.81E-04
   4.85E+06 8.05E-10 7.80E-13 1.67E-10 3.74E-12 5.08E-08 6.61E-04 3.48E-03 4.80E-05 4.00E-05 3.86E-05 2.93E-04
   5.15E+06 9.90E-10 1.16E-11 2.26E-10 5.55E-11 9.80E-08 6.71E-04 3.56E-03 4.89E-05 4.01E-05 3.86E-05 2.99E-04
   5.45E+06 1.24E-09 6.89E-11 2.94E-10 3.31E-10 2.32E-07 6.76E-04 3.59E-03 4.93E-05 4.02E-05 3.87E-05 3.02E-04
   5.75E+06 1.56E-09 2.26E-10 3.70E-10 1.09E-09 5.42E-07 6.79E-04 3.59E-03 4.96E-05 4.02E-05 3.87E-05 3.04E-04
   6.05E+06 2.00E-09 5.02E-10 4.52E-10 2.41E-09 1.06E-06 6.82E-04 3.59E-03 4.97E-05 4.02E-05 3.87E-05 3.05E-04
   6.35E+06 2.62E-09 8.52E-10 5.36E-10 4.09E-09 1.70E-06 6.82E-04 3.60E-03 4.99E-05 4.02E-05 3.87E-05 3.06E-04
   6.65E+06 3.57E-09 1.21E-09 6.22E-10 5.83E-09 2.37E-06 6.82E-04 3.60E-03 5.00E-05 4.02E-05 3.87E-05 3.07E-04
   6.95E+06 5.00E-09 1.57E-09 7.10E-10 7.45E-09 3.00E-06 6.82E-04 3.60E-03 5.00E-05 4.02E-05 3.87E-05 3.07E-04
   7.25E+06 7.04E-09 2.28E-09 7.99E-10 8.85E-09 3.55E-06 6.82E-04 3.60E-03 5.01E-05 4.02E-05 3.87E-05 3.08E-04
   7.55E+06 9.85E-09 5.10E-09 8.89E-10 1.00E-08 4.01E-06 6.82E-04 3.60E-03 5.01E-05 4.02E-05 3.87E-05 3.08E-04
   7.85E+06 1.37E-08 1.34E-08 9.76E-10 1.10E-08 4.40E-06 6.82E-04 3.60E-03 5.02E-05 4.02E-05 3.87E-05 3.08E-04
   8.15E+06 1.88E-08 3.21E-08 1.06E-09 1.22E-08 4.77E-06 7.15E-04 3.56E-03 5.02E-05 4.02E-05 3.87E-05 3.09E-04
   8.45E+06 2.50E-08 6.85E-08 1.14E-09 1.42E-08 5.15E-06 7.94E-04 3.48E-03 5.03E-05 4.02E-05 3.87E-05 3.09E-04
   8.75E+06 3.15E-08 1.34E-07 1.21E-09 1.79E-08 5.55E-06 8.26E-04 3.45E-03 5.03E-05 4.02E-05 3.87E-05 3.09E-04
   9.05E+06 3.74E-08 2.49E-07 1.27E-09 2.41E-08 5.97E-06 8.09E-04 3.46E-03 5.03E-05 4.02E-05 3.87E-05 3.09E-04
   9.35E+06 4.21E-08 4.50E-07 1.31E-09 3.46E-08 6.37E-06 7.44E-04 3.53E-03 5.03E-05 4.02E-05 3.87E-05 3.09E-04
   9.65E+06 4.55E-08 7.45E-07 1.33E-09 5.03E-08 6.72E-06 6.94E-04 3.59E-03 5.03E-05 4.02E-05 3.87E-05 3.09E-04
   9.95E+06 4.76E-08 1.07E-06 1.35E-09 6.82E-08 6.99E-06 6.80E-04 3.61E-03 5.03E-05 4.02E-05 3.87E-05 3.09E-04

     Z      PCH4     PCH3OOH  PN2O     PHNO3    PNO      PNO2     PHNO4    PCCL3F   PCCL2F2  PCCL4    PCH3CL
   5.00E+04 0.00E+00 2.26E-06 2.21E-13 1.67E-07 2.98E-75 2.93E-03 2.45E-06 4.17E-11 2.24E-12 1.22E-10 1.26E-14
   3.50E+05 0.00E+00 2.76E-06 3.41E-12 2.10E-07 5.78E-32 3.35E-03 3.05E-06 5.45E-10 3.04E-11 1.52E-09 2.20E-13
   6.50E+05 0.00E+00 3.13E-06 2.30E-11 2.43E-07 9.71E-21 3.70E-03 3.48E-06 3.23E-09 1.85E-10 8.76E-09 1.29E-07
   9.50E+05 0.00E+00 3.42E-06 9.30E-11 2.77E-07 1.20E-16 4.01E-03 3.83E-06 1.16E-08 7.16E-10 3.00E-08 7.07E-12
   1.25E+06 0.00E+00 3.68E-06 3.08E-10 3.29E-07 4.78E-14 4.30E-03 4.16E-06 3.35E-08 2.52E-09 7.66E-08 3.39E-11
   1.55E+06 0.00E+00 3.94E-06 1.01E-09 4.64E-07 3.30E-12 4.55E-03 4.60E-06 9.17E-08 8.53E-09 1.80E-07 1.39E-10
   1.85E+06 2.22-226 4.32E-06 3.58E-09 9.21E-07 8.34E-11 4.74E-03 5.63E-06 2.62E-07 2.80E-08 4.72E-07 4.98E-10
   2.15E+06 1.88-148 4.99E-06 1.21E-08 2.37E-06 1.05E-09 4.89E-03 8.34E-06 7.03E-07 8.23E-08 1.24E-06 1.55E-09
