 SOLAR ZENITH ANGLE (deg) =    48.2000000000000     
 FIXED SPECIES MIXING RATIOS:
    O2 =   0.210000000000000       CO2 =   4.000000000000000E-004
 
    CH4 =   1.600000000000082E-006
 Standard CH3CL flux =  0.000E+00

 PO2= 1.517E-01  PNO= 3.565E-02  ZAPNO= 3.768E+03
 N= 3     X= 6.98377E-01  ERR= 1.04174E-06

 TIME = 0.0000E+00     TIMEY =   0.0000E+00 YEARS

 NPHOT =  0

 MIXING RATIOS OF LONG-LIVED SPECIES


   4.55E+06 2.64E-10 1.46E-53 1.98E-11 7.02E-53 1.83E-09 3.92E-04 1.65E-03 2.69E-05 2.94E-05 2.98E-05 1.65E-04
   4.85E+06 3.09E-10 1.27E-39 2.79E-11 6.11E-39 2.88E-09 4.43E-04 2.11E-03 3.09E-05 2.99E-05 3.01E-05 1.88E-04
   5.15E+06 3.50E-10 3.50E-30 3.79E-11 1.68E-29 4.45E-09 4.74E-04 2.39E-03 3.34E-05 3.02E-05 3.03E-05 2.03E-04
   5.45E+06 3.94E-10 1.19E-23 5.10E-11 5.71E-23 7.08E-09 4.92E-04 2.55E-03 3.49E-05 3.04E-05 3.04E-05 2.11E-04
   5.75E+06 4.46E-10 4.56E-19 6.90E-11 2.19E-18 1.20E-08 5.02E-04 2.64E-03 3.58E-05 3.05E-05 3.05E-05 2.17E-04
   6.05E+06 5.13E-10 6.99E-16 9.45E-11 3.36E-15 2.12E-08 5.08E-04 2.68E-03 3.64E-05 3.05E-05 3.05E-05 2.20E-04
   6.35E+06 6.01E-10 1.08E-13 1.30E-10 5.17E-13 3.71E-08 5.11E-04 2.69E-03 3.67E-05 3.05E-05 3.05E-05 2.22E-04
   6.65E+06 7.23E-10 3.49E-12 1.75E-10 1.67E-11 6.59E-08 5.12E-04 2.70E-03 3.69E-05 3.05E-05 3.05E-05 2.24E-04
   6.95E+06 8.92E-10 3.43E-11 2.27E-10 1.65E-10 1.47E-07 5.13E-04 2.70E-03 3.70E-05 3.06E-05 3.05E-05 2.25E-04
   7.25E+06 1.12E-09 1.54E-10 2.85E-10 7.37E-10 3.83E-07 5.14E-04 2.70E-03 3.71E-05 3.06E-05 3.05E-05 2.25E-04
   7.55E+06 1.43E-09 4.02E-10 3.47E-10 1.93E-09 8.41E-07 5.15E-04 2.69E-03 3.72E-05 3.06E-05 3.05E-05 2.26E-04
   7.85E+06 1.84E-09 7.36E-10 4.12E-10 3.53E-09 1.45E-06 5.19E-04 2.69E-03 3.72E-05 3.06E-05 3.05E-05 2.26E-04
   8.15E+06 2.48E-09 1.07E-09 4.79E-10 5.15E-09 2.06E-06 5.43E-04 2.66E-03 3.73E-05 3.06E-05 3.05E-05 2.26E-04
   8.45E+06 3.60E-09 1.35E-09 5.50E-10 6.48E-09 2.58E-06 6.02E-04 2.60E-03 3.73E-05 3.06E-05 3.05E-05 2.27E-04
   8.75E+06 5.52E-09 1.56E-09 6.29E-10 7.44E-09 2.97E-06 6.26E-04 2.57E-03 3.74E-05 3.06E-05 3.05E-05 2.27E-04
   9.05E+06 8.47E-09 2.28E-09 7.15E-10 8.08E-09 3.25E-06 6.13E-04 2.58E-03 3.74E-05 3.06E-05 3.05E-05 2.27E-04
   9.35E+06 1.33E-08 6.81E-09 8.02E-10 8.58E-09 3.47E-06 5.65E-04 2.64E-03 3.75E-05 3.06E-05 3.05E-05 2.27E-04
   9.65E+06 2.16E-08 1.97E-08 8.95E-10 9.19E-09 3.71E-06 5.28E-04 2.68E-03 3.75E-05 3.06E-05 3.05E-05 2.28E-04
   9.95E+06 3.36E-08 4.39E-08 9.94E-10 1.02E-08 3.99E-06 5.17E-04 2.69E-03 3.75E-05 3.06E-05 3.05E-05 2.28E-04

     Z      PCH4     PCH3OOH  PN2O     PHNO3    PNO      PNO2     PHNO4    PCCL3F   PCCL2F2  PCCL4    PCH3CL
   5.00E+04 0.00E+00 2.23E-06 1.02E-31 1.39E-07 0.00E+00 3.03E-03 2.26E-06 2.41E-30 8.74E-32 1.22E-29 2.74E-36
   3.50E+05 0.00E+00 2.72E-06 8.96E-26 1.77E-07 0.00E+00 3.41E-03 2.83E-06 2.03E-24 8.64E-26 7.92E-24 9.62E-29
   6.50E+05 0.00E+00 3.06E-06 6.60E-21 2.05E-07 1.23-116 3.67E-03 3.23E-06 1.40E-19 7.10E-21 4.44E-19 2.94E-23
   9.50E+05 0.00E+00 3.29E-06 3.12E-17 2.24E-07 2.87E-79 3.85E-03 3.51E-06 6.39E-16 3.53E-17 1.79E-15 2.39E-19
   1.25E+06 0.00E+00 3.44E-06 1.25E-14 2.39E-07 9.18E-54 3.96E-03 3.70E-06 2.50E-13 1.44E-14 6.65E-13 1.21E-16
   1.55E+06 0.00E+00 3.55E-06 6.83E-13 2.51E-07 2.75E-37 4.03E-03 3.86E-06 1.36E-11 7.95E-13 3.53E-11 7.30E-15
   1.85E+06 0.00E+00 3.66E-06 1.20E-11 2.73E-07 9.02E-27 4.07E-03 4.06E-06 2.39E-10 1.40E-11 6.21E-10 1.29E-13
   2.15E+06 0.00E+00 3.82E-06 1.12E-10 3.26E-07 5.93E-20 4.10E-03 4.41E-06 2.24E-09 1.30E-10 5.89E-09 1.16E-12
   2.45E+06 0.00E+00 4.07E-06 6.91E-10 4.82E-07 1.64E-15 4.13E-03 5.12E-06 1.38E-08 8.25E-10 3.67E-08 7.55E-12
   2.75E+06 0.00E+00 4.52E-06 3.33E-09 1.01E-06 1.38E-12 4.15E-03 6.77E-06 6.56E-08 4.33E-09 1.70E-07 4.71E-11
